OBJECTID;Id da Instalação;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Prevista;Data Entrada;Data Entrada,x,y
65;BABW2 ;SUB BW GUIRAPA II                                  BA       ;DUA;Central Eólica Tamanduá Mirim SA                               ;29/11/2015;30/11/2015;15/02/2016;16/02/2016,-42.62833300199998,-14.40305600399995
66;BACCD ;SUB CICERO DANTAS                                  BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.36722220499996,-10.595277800999952
67;BACFO ;SUB CAMPO FORMOSO                                  BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/11/2015;30/11/2015;09/10/2015;10/10/2015,-40.61323100299995,-10.584231004000003
68;BACLA ;SUB CAMPO LARGO                                    BA       ;WWP;CLWP EOLICA PARQUE I S.A.                                      ;30/11/2018;01/12/2018;03/07/2018;04/07/2018,-41.33972220099997,-10.87333330499996
69;BACMD ;SUB CAMACARI II                                    BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.348055504,-12.617777801999978
70;BACMQ ;SUB CAMACARI IV                                    BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;18/11/2012;19/11/2012;18/11/2012;19/11/2012,-38.34283300499999,-12.611028000999966
71;BACND ;SUB CASA NOVA II                                   BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/09/2017;30/09/2017;08/12/2017;09/12/2017,-41.02800000499997,-9.286400005999951
72;BACPBR;SUB PEDRA BRANCA                                   BA       ;DRA;PEDRA BRANCA SA                                                ;30/03/2013;31/03/2013;02/02/2013;03/02/2013,-41.09000000399999,-9.856667004999963
73;BACRI ;SUB CRISTAL                                        BA       ;IST;Enel Green Power Cristal Eólica SA                             ;30/01/2017;31/01/2017;09/11/2017;10/11/2017,-41.378256000999954,-11.735466003999989
74;BACTA ;SUB CAETITE A                                      BA       ;TTA;EOLICA CAETITE A S.A.                                          ;30/10/2015;31/10/2015;08/09/2015;09/09/2015,-42.47820600099999,-14.138050004999968
75;BACTE ;SUB CAETITE                                        BA       ;ETI;Centrais Eólicas Caetité Ltda                                  ;29/11/2015;30/11/2015;31/12/2015;01/01/2016,-42.58293500499997,-14.468988002000003
76;BACTG ;SUB COTEGIPE                                       BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.42777780399996,-12.791388906999998
77;BACTT ;SUB CAETITE 123                                    BA       ;968;Caetité 2 Energia Renovável S.A.                               ;30/10/2014;31/10/2014;02/10/2014;03/10/2014,-42.49335600399996,-14.18629200099997
78;BACTU ;SUB CATU                                           BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.366944402,-12.39138890099997
